exp	sn	cond	sess	practice	trial	ms_per_word	totalMaskTime	preMidpointDelay	scenarioKey1	scen1PosNeg	s1AffectValue	scenarioKey2	scen2PosNeg	s2AffectValue	low	high	distance	midPoint	presented	scenarioResponse	scenarioRT	scenarioCorrect	ResponseOrder	midPointResponse	midPointRT	midPointCorrect	rtBeep	deadline
exp1	1002	b_mp	4	0	0	400	6400	0	lose wallet	negative	-1.0531	new friends	positive	0.9471	147	197	50	172	169.0	new friends	978	correct	b	below	2362	correct	false	3000
exp1	1002	b_mp	4	0	1	400	7200	0	euthanize pet	negative	-1.0489	luxury boat	positive	0.9466	128	174	46	151	148.0	luxury boat	607	correct	ba	above	1528	incorrect	false	3000
exp1	1002	b_mp	4	0	2	400	7600	0	tax refund	positive	0.9393	food poisoning	negative	-1.0193	147	183	36	165	161.0	tax refund	628	correct	a	above	1255	incorrect	false	3000
exp1	1002	b_mp	4	0	3	400	8400	0	braces off	positive	0.9354	break up	negative	-1.0011	136	172	36	154	157.0	braces off	366	correct	b	below	1252	incorrect	false	3000
exp1	1002	b_mp	4	1	0	400	7600	0	Hammock over beach	positive	1.152916269	Get shot	negative	-1.317538202	124	178	54	151	147.0	Hammock over beach	465	correct	a	above	999	incorrect	false	3000
exp1	1002	b_mp	4	1	1	400	9200	0	Dumped on wedding day	negative	-1.458510776	Perfect score on test	positive	1.295468894	135	167	32	151	150.0	Perfect score on test	731	correct	b	below	761	correct	false	1255
exp1	1002	b_mp	4	1	2	400	8400	0	Week of paid vacation	positive	1.18087233	Car wreck	negative	-1.15816545	147	181	34	164	165.0	Week of paid vacation	639	correct	a	above	1083	correct	false	1252
exp1	1002	b_mp	4	1	3	400	8400	0	Unfulfilling job	negative	-1.183044933	Go on vacation	positive	1.0904063	170	198	28	184	181.0	Go on vacation	787	correct	b	below	1041	correct	false	1083
exp1	1002	b_mp	4	1	4	400	7600	0	Plane crash	negative	-1.36851317	Accomplish life goal	positive	1.368881422	117	185	68	151	150.0	Accomplish life goal	428	correct	b	below	859	correct	false	1041
exp1	1002	b_mp	4	1	5	400	8400	0	Victim of mugging	negative	-1.199459362	Ideal date	positive	1.049061692	163	189	26	176	178.0	Ideal date	696	correct	a	above	1011	correct	false	1041
exp1	1002	b_mp	4	1	6	400	6800	0	Unexpected vacation	positive	1.114473541	Get divorce	negative	-1.255920744	164	186	22	175	178.0	Unexpected vacation	585	correct	ba	above	1561	correct	true	1041
exp1	1002	b_mp	4	1	7	400	8000	0	Rejected from school	negative	-1.122225842	Cruise	positive	0.984423326	121	153	32	137	141.0	Cruise	527	correct	ba	above	1345	correct	true	1041
exp1	1002	b_mp	4	1	8	400	8000	0	Parents divorce	negative	-1.181605944	Ideal significant other	positive	1.386805352	146	176	30	161	165.0	Ideal significant other	247	correct	a	above	1343	correct	true	1041
exp1	1002	b_mp	4	1	9	400	7600	0	Tornado	negative	-1.377376157	Be promoted	positive	1.049492139	161	187	26	174	172.0	Be promoted	688	correct	b	below	906	correct	false	1041
exp1	1002	b_mp	4	1	10	400	7600	0	Free vacation	positive	1.180863031	Unhappy relationship	negative	-1.196189777	136	198	62	167	169.0	Free vacation	509	correct	a	above	1163	correct	true	1041
exp1	1002	b_mp	4	1	11	400	8000	0	Parent Alzheimer's	negative	-1.484989994	Get married	positive	1.367110428	142	188	46	165	168.0	Get married	705	correct	ba	above	890	correct	false	1041
exp1	1002	b_mp	4	1	12	400	7200	0	Go to beach	positive	1.055341423	Heart attack	negative	-1.361152776	147	189	42	168	172.0	Go to beach	365	correct	ba	above	1332	correct	true	1041
exp1	1002	b_mp	4	1	13	400	7600	0	Ideal weight	positive	0.957425806	Large financial loss	negative	-1.203367873	129	163	34	146	147.0	Ideal weight	491	correct	ba	above	1148	correct	true	1041
